half_position,half red,total red,half_complete_name,whole_complete_name,half_file_name,whole_file_name,pair number,matrix number
bottom,24,46,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_8_mat_1_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_8_mat_1_dim_10_r_46.png,pair_8_mat_1_dim_10_r_24_bot_half.png,pair_8_mat_1_dim_10_r_46.png,8,15
bottom,17,37,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_8_mat_2_dim_10_r_17_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_8_mat_2_dim_10_r_37.png,pair_8_mat_2_dim_10_r_17_bot_half.png,pair_8_mat_2_dim_10_r_37.png,8,16
top,31,63,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_9_mat_1_dim_10_r_31_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_9_mat_1_dim_10_r_63.png,pair_9_mat_1_dim_10_r_31_top_half.png,pair_9_mat_1_dim_10_r_63.png,9,17
top,27,48,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_9_mat_2_dim_10_r_27_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_9_mat_2_dim_10_r_48.png,pair_9_mat_2_dim_10_r_27_top_half.png,pair_9_mat_2_dim_10_r_48.png,9,18
bottom,20,43,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_10_mat_1_dim_10_r_20_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_10_mat_1_dim_10_r_43.png,pair_10_mat_1_dim_10_r_20_bot_half.png,pair_10_mat_1_dim_10_r_43.png,10,19
bottom,32,62,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_10_mat_2_dim_10_r_32_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_10_mat_2_dim_10_r_62.png,pair_10_mat_2_dim_10_r_32_bot_half.png,pair_10_mat_2_dim_10_r_62.png,10,20
bottom,24,52,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_11_mat_1_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_11_mat_1_dim_10_r_52.png,pair_11_mat_1_dim_10_r_24_bot_half.png,pair_11_mat_1_dim_10_r_52.png,11,21
bottom,21,47,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_11_mat_2_dim_10_r_21_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_11_mat_2_dim_10_r_47.png,pair_11_mat_2_dim_10_r_21_bot_half.png,pair_11_mat_2_dim_10_r_47.png,11,22
bottom,25,49,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_12_mat_1_dim_10_r_25_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_12_mat_1_dim_10_r_49.png,pair_12_mat_1_dim_10_r_25_bot_half.png,pair_12_mat_1_dim_10_r_49.png,12,23
bottom,26,55,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_12_mat_2_dim_10_r_26_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_12_mat_2_dim_10_r_55.png,pair_12_mat_2_dim_10_r_26_bot_half.png,pair_12_mat_2_dim_10_r_55.png,12,24
top,22,46,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_13_mat_1_dim_10_r_22_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_13_mat_1_dim_10_r_46.png,pair_13_mat_1_dim_10_r_22_top_half.png,pair_13_mat_1_dim_10_r_46.png,13,25
top,28,45,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_13_mat_2_dim_10_r_28_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_13_mat_2_dim_10_r_45.png,pair_13_mat_2_dim_10_r_28_top_half.png,pair_13_mat_2_dim_10_r_45.png,13,26
top,22,46,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_14_mat_1_dim_10_r_22_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_14_mat_1_dim_10_r_46.png,pair_14_mat_1_dim_10_r_22_top_half.png,pair_14_mat_1_dim_10_r_46.png,14,27
top,24,57,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_14_mat_2_dim_10_r_24_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_14_mat_2_dim_10_r_57.png,pair_14_mat_2_dim_10_r_24_top_half.png,pair_14_mat_2_dim_10_r_57.png,14,28
bottom,24,48,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_15_mat_1_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_15_mat_1_dim_10_r_48.png,pair_15_mat_1_dim_10_r_24_bot_half.png,pair_15_mat_1_dim_10_r_48.png,15,29
bottom,28,56,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_15_mat_2_dim_10_r_28_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_15_mat_2_dim_10_r_56.png,pair_15_mat_2_dim_10_r_28_bot_half.png,pair_15_mat_2_dim_10_r_56.png,15,30
top,27,51,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_16_mat_1_dim_10_r_27_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_16_mat_1_dim_10_r_51.png,pair_16_mat_1_dim_10_r_27_top_half.png,pair_16_mat_1_dim_10_r_51.png,16,31
top,25,50,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_16_mat_2_dim_10_r_25_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_16_mat_2_dim_10_r_50.png,pair_16_mat_2_dim_10_r_25_top_half.png,pair_16_mat_2_dim_10_r_50.png,16,32
bottom,24,49,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_17_mat_1_dim_10_r_24_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_17_mat_1_dim_10_r_49.png,pair_17_mat_1_dim_10_r_24_bot_half.png,pair_17_mat_1_dim_10_r_49.png,17,33
bottom,18,38,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_17_mat_2_dim_10_r_18_bot_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_17_mat_2_dim_10_r_38.png,pair_17_mat_2_dim_10_r_18_bot_half.png,pair_17_mat_2_dim_10_r_38.png,17,34
top,29,62,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_18_mat_1_dim_10_r_29_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_18_mat_1_dim_10_r_62.png,pair_18_mat_1_dim_10_r_29_top_half.png,pair_18_mat_1_dim_10_r_62.png,18,35
top,20,51,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_18_mat_2_dim_10_r_20_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_18_mat_2_dim_10_r_51.png,pair_18_mat_2_dim_10_r_20_top_half.png,pair_18_mat_2_dim_10_r_51.png,18,36
top,23,48,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_19_mat_1_dim_10_r_23_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_19_mat_1_dim_10_r_48.png,pair_19_mat_1_dim_10_r_23_top_half.png,pair_19_mat_1_dim_10_r_48.png,19,37
top,26,52,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_19_mat_2_dim_10_r_26_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_19_mat_2_dim_10_r_52.png,pair_19_mat_2_dim_10_r_26_top_half.png,pair_19_mat_2_dim_10_r_52.png,19,38
top,28,52,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_20_mat_1_dim_10_r_28_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_20_mat_1_dim_10_r_52.png,pair_20_mat_1_dim_10_r_28_top_half.png,pair_20_mat_1_dim_10_r_52.png,20,39
top,25,48,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_20_mat_2_dim_10_r_25_top_half.png,/Users/christinasun/Library/CloudStorage/Dropbox/github_repos/belief_distortion/gen_matrix/graphs/dim_10_pairs_20/pair_20_mat_2_dim_10_r_48.png,pair_20_mat_2_dim_10_r_25_top_half.png,pair_20_mat_2_dim_10_r_48.png,20,40
